st_teff,st_logg,st_rad,st_dist,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,Rp_Rs
5485.0,4.556,0.867,0,7.275040844,7.5377,3001.0,4.86,113.64,833.0,0.547
4077.0,4.702,0.56,0,19.27153892,2.7594,1219.8,1.93,5.66,393.0,0.031
4077.0,4.702,0.56,0,10.06524317,1.369,1053.3,1.91,13.43,488.0,0.628
5557.0,4.603,0.75,0,12.3935651,3.8896,916.6,2.66,49.68,677.0,0.883
5854.0,4.406,1.012,0,43.84439721,6.802,615.2,2.87,18.77,531.0,0.852
5295.0,4.551,0.811,0,3.341913228,3.813,725.3,21.55,268.67,1032.0,1.213
5735.0,4.41,0.973,0,1.626630225,2.1145,1620.6,32.43,1355.88,1547.0,1.26
6214.0,4.442,1.076,0,2.711504086,3.0099,837.5,3.12,960.79,1420.0,0.023
6214.0,4.442,1.076,0,7.21203748,4.0491,950.4,3.32,260.58,1025.0,0.012
5799.0,4.539,0.878,0,14.1798187,2.505,459.9,1.88,60.35,711.0,0.1601
5354.0,4.587,0.788,0,8.47237911,2.7245,1123.5,2.59,75.44,751.0,0.022
5354.0,4.587,0.788,0,60.4189369,5.039,931.3,2.36,5.49,390.0,0.094
5795.0,4.508,0.919,0,12.611904345,5.1497,6105.6,7.4,76.15,753.0,0.55
6017.0,4.22,1.339,0,1.433769925,1.8868,1976.3,46.58,3209.29,1920.0,1.268
5927.0,4.409,1.06,0,10.31872301,3.836,871.7,28.59,139.26,876.0,1.215
5519.0,4.35,1.062,0,2.539183147,2.4282,382.1,2.06,743.09,1332.0,0.238
5653.0,4.656,0.679,0,6.770300385,2.0844,1304.0,2.77,102.87,812.0,0.838
5255.0,4.678,0.636,0,0.444291966,2.0792,10967.0,27.51,2706.26,1836.0,1.258
5988.0,4.541,0.836,0,10.181584004,3.5089,5741.1,7.73,102.91,812.0,0.92
3950.0,4.754,0.493,0,20.06036336,3.3203,1494.7,1.96,4.0,361.0,0.556
3950.0,4.754,0.493,0,46.1842039,4.758,1394.7,1.83,1.32,273.0,0.013
5854.0,4.406,1.012,0,23.9800854,5.351,104.0,1.31,41.94,649.0,0.95
3950.0,4.754,0.493,0,7.82502168,2.186,520.8,1.2,14.05,494.0,0.708
5557.0,4.592,0.774,0,3.895936525,2.3111,8544.8,7.34,241.62,1005.0,0.524
5395.0,4.615,0.734,0,22.36646466,5.228,986.8,2.32,19.45,536.0,0.4
5539.0,4.322,1.106,0,1.625522174,2.38963,7969.0,9.73,1467.41,1579.0,0.076
5710.0,4.492,0.905,0,19.620346923,2.0038,21725.0,13.6,40.39,643.0,0.458
5657.0,4.567,0.824,0,7.544039,6.222,322.6,17.47,116.46,838.0,1.175
5349.0,4.526,0.82,0,9.02930689,3.1449,1019.8,2.57,77.75,757.0,0.024
5627.0,4.359,1.024,0,10.328035714,7.7915,16918.0,13.28,119.31,843.0,0.281
5485.0,4.556,0.867,0,143.2063047,8.9302,10566.0,8.9,2.14,308.0,0.379
5854.0,4.406,1.012,0,6.164876,3.262,55.8,0.79,256.35,1021.0,0.646
5485.0,4.556,0.867,0,60.32494216,6.6188,20280.0,12.19,6.77,411.0,0.224
5485.0,4.556,0.867,0,29.1598615,4.803,488.0,1.91,17.85,524.0,0.3619
5663.0,4.53,0.915,0,1.540397253,2.1541,816.1,25.69,1105.68,1470.0,1.225
4667.0,4.578,0.731,0,2.99025443,5.414,589.2,1.7,168.45,918.0,0.014
5934.0,4.491,0.893,0,1.594745374,1.9604,15044.0,11.3,1329.42,1539.0,0.514
5170.0,4.574,0.807,0,4.783002698,2.335,1008.7,2.5,145.48,886.0,0.003
4905.0,4.544,0.761,0,20.50588921,4.0595,2105.5,3.41,17.06,518.0,0.26
3950.0,4.754,0.493,0,3.340218842,1.9104,1632.6,2.03,43.73,656.0,0.466
5926.0,4.506,0.939,0,2.507089906,2.0067,1339.2,30.26,730.47,1326.0,1.255
5775.0,4.405,1.053,0,18.64932728,4.4056,893.6,3.12,57.13,701.0,0.08
5847.0,4.191,1.402,0,4.90144976,4.1654,140.7,1.7,598.74,1262.0,0.529
5775.0,4.405,1.053,0,9.75192101,4.793,418.0,2.76,135.66,870.0,0.949
5775.0,4.405,1.053,0,38.5576546,5.794,993.0,4.02,21.71,550.0,0.911
5150.0,4.572,0.793,0,3.525632539,2.59959,22335.0,11.58,213.12,975.0,0.12
5509.0,4.482,0.871,0,34.84398644,2.9315,4523.6,7.61,16.1,511.0,0.934
5973.0,4.439,1.085,0,7.748094239,3.5957,2472.1,5.52,204.39,964.0,0.517
3747.0,4.728,0.524,0,23.96793669,3.827,1182.3,1.8,2.77,329.0,0.416
3747.0,4.728,0.524,0,8.29561738,1.3421,824.3,1.82,11.39,469.0,0.888
3692.0,4.753,0.517,0,8.11437482,2.2736,1558.0,2.1,10.55,460.0,0.573
5575.0,4.521,0.932,0,38.036729482,4.34617,82872.0,27.5,14.81,500.0,0.501
6463.0,4.5,0.826,0,4.64090031,35.512,2450.6,30.09,421.08,1155.0,1.28
5514.0,4.569,0.826,0,3.747838198,5.0642,616.0,13.65,266.76,1031.0,1.121
5847.0,4.191,1.402,0,14.74914825,6.0995,430.2,2.89,137.91,874.0,0.173
5601.0,4.41,0.999,0,21.81295996,4.3791,1175.4,3.38,39.33,639.0,0.053
5690.0,4.588,0.776,0,7.91936937,3.3148,15148.0,10.34,104.0,814.0,0.733
6228.0,4.428,0.99,0,1.028436523,1.8606,8098.0,72.77,3400.48,1947.0,1.5734
4986.0,4.496,0.833,0,15.37562369,3.3169,15337.0,11.01,30.54,600.0,0.692
4861.0,4.574,0.732,0,8.10363271,3.161,887.9,2.11,52.82,687.0,0.047
4861.0,4.574,0.732,0,4.71510843,2.506,417.5,1.46,108.84,823.0,0.258
5776.0,4.554,0.849,0,6.365839713,2.9721,780.7,2.44,165.33,914.0,0.524
6108.0,4.471,0.997,0,5.97581754,3.065,962.4,3.86,284.25,1047.0,0.941
5764.0,4.548,0.863,0,2.446737317,4.7211,1177.9,26.25,597.19,1261.0,1.241
5035.0,4.519,0.791,0,3.04033046,1.8411,10859.0,8.99,257.29,1021.0,0.736
5251.0,4.581,0.817,0,15.33528675,3.897,3081.4,5.0,32.67,610.0,0.773
5847.0,4.191,1.402,0,7.95825328,4.377,50.0,1.06,314.15,1074.0,0.706
5251.0,4.581,0.817,0,31.33046135,5.176,5073.8,6.5,12.61,481.0,0.798
5810.0,4.526,0.898,0,3.9043425,3.831,16228.0,12.28,351.05,1104.0,0.709
